# ==== Vocabulary ====
the 30550
entreat for 1
wi eld 5
pres ag ing 1
mis give 1
conflict s 1
rep assed 1
fore told 4
lur ks 4
abode ments 1
drum mer 1
fear less 4
spe ake th 1
who so er 1
gain says 1
b order 1
hor iz on 1
ger mans 4
holland ers 1
true hearted 3
northampton 9
le ic ester shire 1
oxford shire 1
tro ys 2
well minded 1
water flowing 1
sub s id ies 1
fawn s 2
shame faced 2
foun t 3
ho ped for 2
hay 10
great grown 1
dun s more 1
dain try 1
south am 2
un bid 1
sport ful 4
out rages 5
at las 1
weak ling 2
fore cast 1
sli ly 2
fing ered 1
wind changing 1
j ep h th ah s 1
sacrifice d 1
mis leading 1
proud hearted 1
un constant 4
brother like 1
co op ed 1
bu g 2
ax es 1
over pe ered 1
sh rubs 4
powr ful 1
liken ed 1
par ks 2
man ors 3
gl ues 1
m ought 1
distingu ished 1
wreath s 3
bright shining 1
ease ful 1
ga le 3
over board 5
holding anchor 1
pilot 9
tear ful 1
shroud s 3
tack lings 1
shel ves 3
quick sand 1
inf use 5
magnanim ity 1
gain say 4
usurped 8
ham es 1
breech 2
a es op 1
curr ish 5
mal a per t 3
und ut iful 1
rail er 1
sp ra wl st 1
ag ony 7
t wit ting 1
deaths men 1
alms deed 1
put tst 2
lord my 1
preposter ous 7
mis doub teth 1
da ed al us 1
min os 1
se ared 1
per secut or 1
execut ing 2
water standing 1
shrie ked 3
night crow 1
ab od ing 1
how led 4
ro oked 1
chim neys 3
chat tring 2
p ies 2
sign ified 3
sn ar l 1
grey beards 2
re purchased 1
autumn s 2
mo wed 1
spur red 5
fet ter ed 1
swe pt 2
fo ots tool 1
bess 1
arm ours 7
sca lding 2
spr ang st 1
judas 18
mirth ful 1
black friars 3
k im bolt on 4
wolsey 97
secret aries 2
campeius 21
gardiner 35
griffith 24
ca put ius 8
abergavenny 10
brandon 14
sergeant at arms 3
bu llen 8
sandys 26
lovell 53
guild ford 5
lin col n 6
cranmer 35
king of arms 1
denny 9
door keeper 3
cri er 6
admir er 1
ague 9
and ren 1
gu y nes 1
ar de 1
cl ung 1
embrace ment 4
cl in quant 1
sh one 6
masque 9
discer ner 1
em by 1
dis cour ser 1
ordered 4
freed 5
pro pped 1
cha l ks 1
success ors 2
all ied 6
spider like 1
self drawing 1
him let 1
that but 1
going out 1
pri vity 1
sick ened 1
grie ving ly 1
consu lting 2
dash ing 2
ab od ed 1
bud ded 1
flaw ed 2
safety that 1
fix eth 1
secretary 10
less en 2
venom mouthed 1
out worth s 1
tem pr ance 2
revi led 1
self mettle 1
ip swi ch 2
sing e 2
over running 1
top proud 1
motions by 1
foun ts 2
ju ly 2
grave l 3
treason ous 3
both for 1
infect ing 1
re ci pro cally 1
suggest s 2
r ins ing 2
count cardinal 1
treason charles 1
wolsey here 1
men ace d 2
de als 1
whit st 1
confessor 9
gil bert 3
mon k 6
ch art re u x 2
hop kins 2
oer great 1
span ned 1
dark ning 2
full charged 1
confess ions 3
us hered 2
un considered 3
grie v ance 6
loyal ties 1
reproach es 2
bitterly 9
put ter on 2
ex actions 3
tax ations 2
cloth iers 2
spin sters 3
card ers 1
full ers 1
wea vers 3
pertain s 4
ex action 3
compe ls 1
pri mer 1
st int 5
c ens ur ers 1
new trimmed 1
interpre ters 2
car ped 1
stat est at ues 1
con tribut ion 2
shire 1
no ised 2
revo ke ment 1
train ing 3
ravished 14
list ning 5
minute he 1
tr us to f 1
for ere cited 1
hi me very 1
speech that 1
h enton 2
la ur ence 1
p oult ney 1
london ers 1
pa using ly 1
nor s 1
dukes hall 1
da mage 6
fa iled 2
lovell s 1
green wi ch 1
repro ved 1
bul mer 1
retain ed 1
moun ting 7
ir resolute 1
ju gg le 1
un manly yet 1
cloth arius 1
spa vin 1
spring halt 1
monsieur s 1
re mn ants 3
pertain ing 1
fire works 1
ab using 4
ren oun cing 1
blister ed 2
ty pes 2
cum 3
privile g io 2
whores ons 1
speed ing 4
f id dle 2
conver ting 4
r 4
colt s 4
st ump 2
a going 1
where withal 2
com pt roll ers 1
dedic ates 2
ent ring 1
welcome you 1
digest ion 7
masqu ers 4
habit ed 6
grace fully 1
un mas king 3
bull ens 3
vis count 1
ro ch ford 1
health s 4
happ ened 3
alle ged 2
exam in ations 1
vi va 1
vo ce 1
learned ly 3
extremely 9
woman ish 7
k ild ar es 1
attain der 4
pernicious ly 1
arraign ment 2
tip staves 1
number less 2
waters ide 1
under takes 4
bo hun 1
ban ister 1
faith less 4
arch bisho pri c 1
to le do 1
ri dden 2
king cardinal 1
ho lily 3
despair sand 1
fashion ed 4
cre ed 1
theyre 15
pens ively 1
medit ations 4
talk er 2
have ath im 1
con cla ve 1
un partial 1
jud ging 1
rise he 1
heav ns 1
murmur ers 1
gri ped 2
pang 4
her by 1
harm doing o 1
acqu ire after 1
pang ing 1
sever ing 2
per ked 1
sp ice 3
hypo cris y 6
emin ence 6
che ver il 2
em ball ing 1
ca er nar f on shire 1
march ion ess 4
ad ds 7
here fie 1
fortune have 1
once tis 1
oer mount 1
fores k irt 1
ver gers 1
wand s 2
as aph 1
consist ory 4
scri be 4
con for ma ble 2
contra di cted 1
un matched 4
impl ore 7
ful filled 5
re ct ify 3
sess ion 8
oer to pping 1
un think 1
humble mouthed 1
meek ness 4
arrog ancy 1
domestic s 1
curt sies 8
saint like 4
hum blest 2
ears for 1
un loose d 1
satisfied whether 1
from t 2
bay on ne 1
mary 6
advertis e 2
leg itimate 8
dow ager 6
consider ings 1
a ired 2
glad ded 1
thro e 1
h ull ing 1
daring st 1
un solicit ed 3
prim est 1
parag oned 1
ad jour n 1
mean while 4
dil atory 2
well beloved 2
along break 1
or phe us 4
hood s 2
mon ks 1
tant a 1
er ga 1
ment is 1
integr it as 1
reg ina 1
ser en iss im a 1
willing st 1
ab sol ved 2
lady but 1
him which 1
fear with 1
been for 1
greatness good 1
friend less 1
war ned 2
church mens 1
long let 1
friend sa 1
heav n 2
super stit ious 4
reward ed 3
flatter ies 6
ship wreck ed 2
fl our ished 2
father inlaw 5
un contem ned 1
him though 1
us i 1
t angled 3
un re counted 1
memor ized 1
was ps 4
un hand led 2
incense 13
colle ges 1
cran mers 1
spleen y 1
lu ther an 1
hard ruled 1
arch one 1
cra w led 1
master cord 1
ac cu mul ated 1
un wit ting ly 2
stuff s 4
out speaks 1
mus ings 2
par ed 3
having s 2
boun ties 5
show ered 1
allegi ant 1
illu str ated 1
horrid yet 1
op ent 3
reap ed 2
ends indeed 1
po ped om 1
mer id ian 1
ex hal ation 2
as her 1
win chest ers 1
malice know 1
co ar se 2
eager ly 3
sle ek 3
letter sp at ents 1
who ll 1
be wailing 1
jury 2
lar ks 3
g lean ing 1
extort ion 1
pa ckets 2
sa cr ing 1
ass ent 2
e go 1
me us 1
in scri bed 1
cas sa do 1
fer rar a 1
in num er able 1
leg ative 1
pra em un ire 1
t ene ments 1
ar ip en ing 1
nip s 3
bla d ders 3
high blown 1
weak hearted 1
nat ur en ot 1
ment ion 3
dep ths 1
sho als 1
aim st 1
celebr ation 6
dun stable 1
amp th ill 1
chor ister s 1
dorset 32
dem ic or on al 1
coll ars 3
s s 2
marshal ship 1
cin que 2
adorn ed 2
coron al 1
countess es 2
cir c lets 1
bro iling 1
crow ds 1
st if led 3
good liest 3
great bell ied 2
wo ven 4
ma kings 1
confess ors 2
em ble ms 1
cho ic est 1
pa ced 3
white hall 1
sto kes ley 1
however 13
led st 1
step ped 3
ro ads 2
le ic ester 3
abbot 9
covent 1
un bound ed 2
ran king 1
simon y 1
fair play 2
un truths 3
un doubted ly 1
fair spoken 1
persu ading 3
un fin ished 2
blessed ness 3
chronic ler 1
bay s 4
vi zards 3
conge e 1
ce ases 5
well and 2
a vow 2
lie but 1
de cent 1
men they 1
em balm 1
un queen ed 1
pri mer o 2
weight ier 3
gr ub bed 1
re marked 1
prefer ments 2
sir i 3
think i 1
forese e ing 1
person ally 3
suf france 4
glad ding 1
grievous i 1
grievous complaints 1
ha li dom 2
end urance 3
ween 1
pre ci p ice 1
char ging 3
vehe men cy 3
kingdom get 1
cherry 9
un say t 1
coun c ill or 3
mong 4
manners as 1
canter bur ys 1
flesh few 1
angels out 1
mis demean ed 1
cha plains 1
in formed with 1
heres ies 2
re formed 3
up ro ars 1
memor ies 3
detest s 2
de fa c ers 1
nourish ment 4
jur or 1
sect ary 2
dis covers 6
ar oll ing 1
inform ations 1
disci ples 1
span iel 7
man few 1
foot boy 2
god father 4
brother love 1
l ard er 1
s witches 1
christen ings 1
remainder could 1
sam son 6
gu y 1
col brand 2
cuckold maker 2
ch ine 2
do z ens 2
moor fields 1
tool 4
for nic ation 4
christen ing 4
door he 1
bra z ier 1
dog days 1
fire dra ke 1
mor tar piece 1
ha berd as hers 1
p ink ed 1
por ring er 2
com bust ion 2
trun cheon ers 1
bro om staff 1
bit ten 1
trib ul ation 1
lime house 1
pat rum 1
ap ie ces 2
bait ing 1
bo mb ards 1
marshal sea 1
cam let 1
god mother 2
inf an the aven 1
ripen ess 2
sa ba 1
star like 2
two but 1
we ve 1
na u gh to ther s 1
neither that 1
edmund s bury 4
neigh bor hood 2
swin stead 6
bigot 16
hubert 94
bur gh 1
faulconbridge 23
half brother 1
gur ney 5
louis 45
li mo ges 2
melun 11
chatillion 14
pandulph 30
po pes 1
constance 48
blanche 23
al p hon so 2
cast ile 1
execution ers 7
geoff reys 6
po it iers 3
usurping ly 1
dis allow 1
control ment 4
arbit rate 5
jud gd 1
ab be ys 1
pri ories 1
exped itions 1
northampton shire 1
honour giving 1
cur de lion 3
po ps 1
cur de lions 2
affect eth 1
exam ined 4
half face 1
half facd 1
treat 1
sojour nd 2
claim d 1
dis possess 4
roberts 9
riding ro ds 1
e el skins 1
stuffd 10
three far things 1
no b 2
land less 1
respect ive 4
knight ly 6
suffic d 1
cate ch ize 3
you that 2
ab sey 1
ap en n ines 1
py rene an 1
po 2
acc out re ment 2
foot steps 1
riding robes 1
woman post 1
mother how 1
un reverend 3
scorn st 1
philip sparrow james 1
well marry 1
hand i work 3
con spired 2
unto ward 2
basilis co like 1
disclaim d 1
leg it im ation 1
vehe ment 6
sedu cd 2
subject ed 2
awe less 2
arch duke 1
forer un ner 3
pal est ine 2
shadow ing 2
power less 1
white facd 1
co op s 1
hed gd 2
water wall ed 1
resist ing 1
cull 6
wa de 3
un advisd 2
mother queen 1
in consider ate 2
volunt aries 1
sple ens 4
birth rights 1
flo at 2
interrup tion 3
un lookd for 3
un expected 2
moun teth 1
under wrought 1
sequ ence 4
geoff rey 3
oer master est 1
super nal 1
stains 9
guard ian 5
skin coat 1
sight ly 1
crack er 1
deaf s 1
plum 4
grand ams 3
heaven moving 1
bri bd 2
slander er 4
in jur er 1
domin ations 1
royalties 9
sin concei ving 1
pla gued 4
un advised 5
ill tun ed 1
re pet itions 1
end ama ge ment 1
con fron ts 1
dis habit ed 1
pain fully 4
un scratch d 1
threat ened 4
for wearied 1
harbour age 2
divine ly 2
down trodden 1
gre ens 1
mu zzled 2
un vexd 1
un ha ckd 1
un bru isd 1
sp out 5
r oun du re 1
old facd 1
harbour d 1
circum fer ence 3
challeng d 2
ram md 1
well born 1
amen mount 1
che vali ers 1
ox head 1
reg iments 1
gro vell ing 2
dis colourd 2
silver bright 1
dis play 5
purple d 2
con fron ted 4
over looks 2
just borne 1
gra cing 1
fang s 5
m ous ing 2
un deter mind 1
potent s 1
fiery kindled 1
strong barrd 1
de posd 1
sc roy les 1
secure ly 7
indu strious 3
pres ences 1
mut ines 1
con joint ly 2
sharp est 3
soul fearing 1
bra w ld 1
inc ess ant ly 1
un fence d 1
sma cks 2
fair facd 2
fast closed 1
pup py dogs 1
beth um pd 1
un sur d 1
blo om 2
conge al 1
liable 9
pro motions 3
form d 2
in fixed 1
es py 4
eas ly 1
vol quess en 1
well young 1
mar ys 2
solemn iz d 2
un prepared 4
round ed 5
purpose ch anger 1
break vow 1
che ats 1
smooth facd 1
tick ling 8
pe ised 1
vi led ra wing 1
all changing 1
cla ppd 5
vile concluded 1
un attempt ed 1
ra ile th 1
mis spoke 1
mis heard 1
fright ing 3
husband less 1
peering 5
confirm ers 1
again not 1
un pleasing 6
prodi gious 7
patch d 2
mo les 2
eye offending 2
half blown 1
adulter ates 1
under bear 1
supp orter 2
fest ival 6
solemn ize 2
al che mist 2
clo d dy 1
prodi giously 1
se amen 2
bargain s 4
beguild 10
value less 1
un god ly 1
sooth st 1
cold blood ed 1
calf s skin 6
deput ies 1
milan 44
step hen 7
lang ton 1
blasphe me 3
sell s 2
cursd 7
ex communic ate 2
arch heretic 1
dis joining 1
tempt s 6
perplex 1
deep sworn 1
bes me ard 2
over staind 1
re greet 4
un swear 2
ordain 2
form less 2
order less 1
dis join 1
indire ction 2
new burn d 1
weddingday 9
bray ing 1
fore thought 1
up hold eth 1
den ounce 1
clock set ter 1
oer cast 2
whirl 3
dis member 2
dearest val ud 1
je op ardy 1
austri as 2
ho vers 1
boy philip 1
res c ud 1
ab bots 1
be cks 2
gau ds 4
brood ed 1
armado 123
con vi cted 1
dis joind 2
oer bearing 2
am iable 7
od or if erous 2
detest able 6
vaul ty 4
ful some 5
smil st 2
bus s 2
miser ys 1
produ ces 1
gl ue 1
t ore 6
repe ats 1
un bind s 1
widow comfort 1
twice told 1
vex ing 1
ac counts 4
mis placd 1
boister ously 1
steep s 1
e vill y 2
prodig ies 5
ab or ti ves 1
den oun cing 1
prison ment 2
un acquainted 3
ran sa cking 1
top ful 1
scrup les 5
pract ises 1
dis piteous 1
li en 1
red hot 3
stubborn hard 1
hammer d 2
hu berts 2
bo istr ous rough 1
st on est ill 2
anger ly 3
annoy ance 5
un deservd 1
repent ant 4
extend s 1
mercy lacking 1
long d for 1
rain bow 3
taper light 2
gar nish 2
repe ating 1
un season able 4
well noted 1
dis figure d 2
start les 3
new crownd 1
over bear 2
ind ue 1
mortality s 1
she ars 4
foul play 1
ow d 5
achie vd 4
cler gy men 3
tra va ill d 1
fant as ied 1
harsh sounding 2
asc ension day 4
imprison 3
new en kindled 1
foreign ers 1
inv asion 2
sp rightful 1
be ld ams 3
sli pp ers 2
em bat ta iled 1
rank d 3
un washd 2
art ific er 1
ur gest 2
sign d 3
consequ ent ly 3
bra vd 5
flesh ly 1
exter ior ly 1
dis possessd 1
best ain ed 1
precious princely 1
blood iest 1
wild est 4
wall ey d 1
un begotten 1
example d 1
toast ing iron 1
tra ded 2
sav ours 8
black nay 1
t wis ted 3
grievous ly 6
em bound ed 1
sc am ble 1
u now d 1
proud swelling 1
bare pickd 1
bone 18
sn ar leth 1
sick falln 1
cin ct ure 1
in fla md 3
in und ation 4
mis temperd 2
convert ite 2
casket 16
threat ner 1
gl ister 2
int en deth 1
ing lor ious 1
inv as ive 1
cock er d 1
per using 1
contem nd 3
widow maker 1
clip pe th 1
un neighbour ly 1
silver ly 1
fig urd 2
himself so 1
me tro polis 1
high born 2
second ary 2
chast isd 2
en kindled 3
half conquer d 1
under prop 3
vive 1
bank d 1
gl or ified 1
out look 1
limited 9
wil fu lo p pos ite 1
tempor ize 3
harness d 2
un ha ird 1
boy ish 2
pig my 1
bu ckets 2
well s 3
pawn s 1
trun ks 4
hu g 6
swine 12
vaul ts 2
fee bled 1
a ery 3
s ouse 1
ner o es 1
ri pping 1
pale vis agd 1
amaz ons 5
th im bles 1
gaunt lets 2
outs cold 1
brab bler 2
bra cd 1
rever ber ate 2
rat tle 1
wel kins 3
bar er i bbd 1
bad ly 1
wra ckd 7
good win 2
st ord 2
un thread 1
retain ing 1
resolve th 1
day wearied 1
unt read 2
oer lookd 2
eye away 1
tot tring 2
plantag en ets 2
eye less 6
es cap d 2
corrup ti bly 1
dwelling house 1
assa ile th 1
prey d 2
fant as ies 4
cy gn et 1
ch ants 3
organ pipe 2
elbow room 1
cr um ble 1
tyrann ize 4
un repri ev able 1
scald ed 1
clo d 3
un war ily 1
lord but 1
sine wed 1
consum mate 4
sp ard 1
everlasting ly 4
before hand 2
s ard is 6
aemilius 15
cicero 16
po pi lius 7
len a 3
casca 74
trebonius 17
ligarius 15
decius 26
metellus 19
cimber 12
cinna 40
flavius 65
marullus 9
art em id orus 8
sop hist 1
c ni do s 1
lucilius 38
titinius 38
messala 49
cato 12
volumnius 13
varro 15
clitus 15
strato 12
dardan ius 8
pindarus 20
calphurnia 15
portia 179
cob bler 8
mend er 1
co bble 1
a wl 1
tra des mans 1
ne ats 3
blo cks 4
climb d 1
live long 4
inter mit 1
ex al ted 3
guiltiness 9
l up er cal 2
fearful ness 1
shrill er 1
ides 7
ve ild 2
concept ions 1
behavi ors 1
cog it ations 1
laugh er 2
pro t ester 1
banquet ing 2
gu sty 1
cha fing 3
acc out red 1
plun ged 3
st em ming 1
pro posd 3
appla uses 1
heap d 3
under lings 1
brook d 1
che w 2
vill ager 2
chid den 4
calphurn ias 2
sle ek headed 1
f atter 1
ob ser ver 2
ash out ing 1
shout ed 2
putting by 1
ref usd 6
ho oted 2
night caps 1
swo oned 2
falling sickness 2
ta gra g 1
for gave 2
stab bd 3
pull ing 2
obscure ly 2
ri vd 2
knot ty 2
foam 4
inc ens es 1
un sc orch d 1
gl ared 1
annoy ing 1
noon day 1
shrie king 5
strang ed is posed 1
distur bed 4
men ace 3
submit ting 1
un brace d 2
b ard 2
gli ding 1
pre formed 1
inf usd 2
air less 1
ret ent ive 2
ru bb ish 2
ill um inate 1
fle er ing 1
noblest minded 1
honourable dangerous 1
pra et ors 2
day lucius 1
him that 1
dis jo ins 1
cli mber upward 1
attain s 1
up most 1
bur neth 5
whi zz ing 1
sleep st 4
inst ig ations 1
phant as ma 1
ca ver n 1
inter pose 2
ar ises 1
high sight ed 1
in sup press ive 1
part icle 2
im prove 1
sacrif ic ers 1
wrath fully 1
pur gers 1
ing ra fted 1
stri ck en 1
augur ers 2
oers way 2
unic orn s 2
ele ph ants 1
un tired 2
honey heavy 1
y 2
un gently 3
st ard 2
ins isted 1
waf ture 1
rhe u my 1
un pur ged 1
ap pertain 2
ru d dy 2
father d 2
eng age ments 1
charact ery 2
good morrow 2
ker chief 3
disc ard 3
conjur d 5
new fir d 1
re counts 1
whel ped 2
yawn d 1
hur tled 1
shrie k 7
sque al 1
pre di ctions 1
litter d 1
consum d 3
senate house 3
sp outs 3
sp out ing 1
bath d 2
sign ifies 4
tinct ures 1
ex pound ed 2
may est 3
bust ling 1
re ars 2
couch ings 1
pre ordinance 1
tha wd 2
mel teth 2
low crooked 1
repeal ing 1
true fixd 1
skies 12
un number d 1
un assa i la ble 1
catch es 5
br ute then 1
pul p its 1
pul pit 5
ab rid gd 2
el bows 6
bes me ar 2
bold est 3
unt rod 1
unt ouch d 1
mis giving 1
conquest s 1
ful fill 2
all alas 1
bay d 3
crimson d 1
permission 10
ru by 2
cum ber 2
rang ing 2
oration 9
ro str um 1
en ro lld 1
exten u ated 1
with holds 3
oers hot 2
ner vii 1
un kindly 6
unkind est 4
mu f fling 1
flourish d 2
revenge about seek burn fire kill slay let 1
ruff le 5
will lets 1
sevent y five 1
dra ch mas 2
ar b ors 1
new planted 1
orch ards 2
fore ver 5
recre ate 2
b ang 1
fire brands 1
cas cas 1
le ga cies 1
un merit able 2
errand s 2
pro scri ption 3
lo ads 3
barren spirit ed 1
imit ations 1
st ald 1
com bind 3
sur est 2
descri bd 1
pe lla 1
s ard ians 1
itch ing 2
un deser vers 1
support ing 1
ab ler 1
star es 4
thunder bolts 2
con nd 2
y oked 3
ill temperd 2
vex eth 1
o vere ar nest 1
cy nic 1
jig ging 1
outlaw ry 1
pro script ions 1
nim bleness 1
gr ud gd 1
full er 2
refresh d 1
new added 1
en cour agd 1
brim full 1
increase th 2
omit ted 4
drow si ly 1
oer watchd 2
by and by 2
break st 2
vanish es 4
cried st 2
honey less 1
sting less 1
ha ckd 4
fawn d 2
red der 1
aven gd 1
mask er 1
bill ow 5
ep ic urus 1
per chd 1
gor ging 1
consort ed 8
demean or 1
not est 1
free man 1
sword caesar 1
dis con so late 1
melancho lys 1
concei vd 3
eng ender d 2
wreath 9
th as so s 1
fun er als 3
la be o 1
over power ed 1
stat ilius 1
torch light 1
slay ing 1
medit ates 1
sword h il ts 1
tarry ing 4
strato countrymen 1
sm atch 1
strato caesar 1
le ars 4
albanys 10
heath 17
hovel 8
farm house 3
goneril 81
regan 106
cordelia 66
albany 70
cornwall 78
edgar 136
oswald 56
cur an 7
ten ant 3
curi os ity 4
blush d 4
round wo m bed 1
sau ci ly 3
dark er 3
confer ring 2
un bur d end 1
cra wl 2
dow ers 2
lar gest 1
challenge goneril 1
shadow y 3
cham pains 1
rich d 1
wi des k ir ted 1
perpetual what 1
fe li cit ate 1
goneril now 1
v ines 4
inter ess d 1
ex ist 2
pat er nal 1
pro pin quity 1
mess es 3
month ly 2
for k 3
rever se 4
empty hearted 1
rever b 1
holl own ess 3
apollo 22
stra ind 6
all ot 2
re v okd 1
ri v all d 1
lit tles e em ing 1
pie cd 2
un friend ed 3
dower d 1
stranger d 1
taver t 1
tack now ledge 1
dis mantle 2
fore vouch d 1
gli b 4
speak that 1
solicit ing 3
this a 2
t ard iness 1
un spoke 1
cold st 1
dower less 2
water ish 2
un priz d 1
ben ison 4
prof essed 7
prescri be 4
der ides 1
ap pertain s 1
slender ly 1
sound est 2
long engra fted 1
wayward ness 1
k ents 1
moon shines 2
fo ps 1
prescri bd 1
gad edmund 1
need ed 3
per usd 4
oer looking 1
just ific ation 1
ess ay 1
old ness 1
revenue my 1
sus pend 2
au ri cul ar 1
tender ly 7
pre diction 3
mach in ations 1
dis quietly 1
care fully and 1
fo p pery 3
treach ers 1
predomin ance 3
liars 7
adulter ers 1
planet ary 2
ev asion 4
go at ish 1
ur sa 1
fut 1
maiden liest 1
twink led 1
bastard iz ing 1
o bed la mo 1
fa 6
sol 5
mi 5
unnatural ness 1
dissol ut ions 1
men aces 1
male di ctions 1
diff id ences 1
dis si p ation 1
co hort s 1
breach es 2
a str on om ical 1
rage th 1
s lower 3
suspect s 5
dis taste 4
checks 9
def use 1
hon es thearted 2
fort ye ight 1
mong rel 5
round est 1
ceremon ious 7
depend ants 3
remember est 1
p ined 4
tri ppd 3
nuncle 17
show est 2
throw est 1
ina door 1
ten s 1
un feed 1
counsell d 2
mon o poly 1
clo vest 1
bor st 1
fo pp ish 1
bo peep 1
o thing 1
o both 1
front let 1
cr um 1
she aled 1
all lic ens d 1
not to be endured 1
hed ges par row 1
jug 1
discern ings 1
leth ar gi ed 1
de bo sh d 1
ep ic ur ism 1
dis quantity 1
bes ort 2
sir prepare 1
marble hearted 1
se amon ster 2
wrench d 2
ster ility 1
teem 3
dis nat urd 1
cad ent 1
channe ls 2
fo gs 3
th unt ent ed 1
wound ings 1
f lay 1
coun se la 1
en guard 1
thun fitness 1
at task d 1
k i bes 2
slips ho d 1
cra bs 3
i the 3
ta k t 1
perforce monster 1
how s 5
ear kissing 1
watch es 5
coming pardon 1
torches so 1
mum bling 2
par ric ides 1
l atch d 2
alarum d 2
then counter 2
g ast ed 1
found dispatchd 1
conce als 1
p ight 2
un possess ing 1
re pos al 1
faith d 1
potent ial 3
th offender 1
god son 1
ca ut ions 1
child like 2
th reading 1
dar key d 1
lips bury 1
pin fold 2
eat er 4
threes u ited 1
hundred pound 1
worst ed sto cking 1
lily liver ed 1
action taking 1
glass gazing 1
su pers er vice able 1
fin ical 1
trunk inherit ing 1
pand er 4
bit ch 1
brazen faced 1
sop 3
moonshine 20
cull ion ly 1
bar ber mong er 1
sh anks draw 1
disclaim s 1
stone cut ter 1
zed 1
un bolt ed 1
mor tar 1
j akes 1
wag tail 1
at wain 2
intr ince 1
tun loose 1
rene ge 1
hal cy on 1
be aks 2
ep ile p tic 1
s ar um 1
ca ck ling 2
came lot 1
anti pa thy 1
blunt ness 1
rough ness 1
corrup ter 2
